KHM,Quarter,mahieu,lat,lon,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,TSS,Coliform,Alkalinity,Transparency,H2S,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,Alkalinity_source,Transparency_source
NB3,,NB3,427607,2320268,,6.14,,8.04,,,,,6.9,1.5,,,0.03593668337464663,,,0.001,0.0001,0.00045,0.00045,0.00025,0.0078,,,
NB3,,NB3,427607,2320268,,6.17,,8.03,,,,,6.3,1.5,,,0.027614403124919324,,,0.0033,0.0001,0.00045,0.00045,0.00025,0.0057,,,
NB3,,NB3,427607,2320268,,6.22,,8.01,,,,,6.4,1.5,,,0.027771864722833692,,,0.0028,0.0001,0.00045,0.00045,0.00025,0.0089,,,
NB3,,NB3,427607,2320268,,6.16,,8.03,,,,,8.2,1.5,,,0.04742188167795268,,,0.0028,0.0001,0.00045,0.00045,0.00025,0.0086,,,
NB3,,NB3,427607,2320268,,6.05,,8.06,,,,,6.3,1.5,,,0.049042891240505815,,,0.0025,0.0001,0.00045,0.00045,0.00025,0.0081,,,
NB3,,NB3,427607,2320268,,6.11,,8,,,,,8.7,1.5,,,0.04560932071725488,,,0.0028,0.0001,0.00045,0.00045,0.00025,0.0066,,,
NB3,,NB3,427607,2320268,,6.16,,8.04,,,,,6.1,1.5,,,0.029420388115905364,,,0.0022,0.0001,0.00045,0.00045,0.00025,0.0085,,,
NB3,,NB3,427607,2320268,,6.19,,8.06,,,,,6.2,1.5,,,0.040743821540666574,,,0.0023,0.0001,0.00045,0.00045,0.00025,0.0075,,,
NB3,,NB3,427607,2320268,,6.07,,8.05,,,,,6.3,1,,,0.0390724357493434,,,0.002,0.0001,0.0001,0.0005,0.0001,0.0072,,,
NB3,,NB3,427607,2320268,,6.03,,8.02,,,,,6.3,1,,,0.04054519128207116,,,0.0013,0.0001,0.0001,0.0005,0.0001,0.0063,,,
NB3,,NB3,427607,2320268,,6.24,,8.07,,,,,5.5,1,,,0.05137689746093168,,,0.0022,0.0001,0.0001,0.00015,0.0001,0.0269,,,
NB3,,NB3,427607,2320268,,6.12,,8.02,,,,,5.4,1,,,0.04061742278641462,,,0.0014,0.0001,0.0001,0.0082,0.0001,0.0459,,,
NB4,,NB4,429685,2320452,,6.81,,8.12,,,,,12.3,1.5,,,0.04791155393244079,,,0.0013,0.0001,0.00045,0.00045,0.00025,0.0159,,,
NB4,,NB4,429685,2320452,,6.96,,8.13,,,,,8.5,1.5,,,0.03838261178551203,,,0.0036,0.0001,0.00045,0.00045,0.00025,0.0027,,,
NB4,,NB4,429685,2320452,,6.19,,8.09,,,,,8.7,1.5,,,0.04159437208944325,,,0.0022,0.0001,0.00045,0.00045,0.00025,0.0053,,,
NB4,,NB4,429685,2320452,,6.19,,8.16,,,,,9.7,1.5,,,0.04709097312426627,,,0.0026,0.0001,0.00045,0.00045,0.00025,0.0033,,,
NB4,,NB4,429685,2320452,,6.05,,8.01,,,,,9.5,1.5,,,0.022076871157397846,,,0.0014,0.0001,0.00045,0.00045,0.00025,0.0126,,,
NB4,,NB4,429685,2320452,,6.01,,8,,,,,10.4,1.5,,,0.03335259160482984,,,0.0024,0.0001,0.00045,0.00045,0.00025,0.0085,,,
NB4,,NB4,429685,2320452,,6.06,,8.05,,,,,10.7,1.5,,,0.031578321589557236,,,0.0019,0.0001,0.00045,0.00045,0.00025,0.0107,,,
NB4,,NB4,429685,2320452,,6.02,,8.09,,,,,10.6,1.5,,,0.029705974966173915,,,0.0018,0.0001,0.00045,0.00045,0.00025,0.0069,,,
NB4,,NB4,429685,2320452,,6.12,,8.03,,,,,9.2,1.5,,,0.03389568340213041,,,0.0016,0.0001,0.00045,0.00045,0.00025,0.0055,,,
NB4,,NB4,429685,2320452,,6.04,,8.01,,,,,6.3,1.5,,,0.06,,,0.0022,0.0001,0.00045,0.00045,0.00025,0.0097,,,
NB4,,NB4,429685,2320452,,6.11,,8.02,,,,,10.2,1.5,,,0.02735842185325933,,,0.0016,0.0001,0.00045,0.00045,0.00025,0.0102,,,
NB4,,NB4,429685,2320452,,6.15,,8.03,,,,,9.3,1.5,,,0.0532138815562429,,,0.0018,0.0001,0.00045,0.00045,0.00025,0.0122,,,
NB4,,NB4,429685,2320452,,6.06,,8.04,,,,,9.2,1,,,0.020341360098827,,,0.0017,0.0001,0.0001,0.0005,0.0001,0.0117,,,
NB4,,NB4,429685,2320452,,6,,8,,,,,10.2,1,,,0.03316903973407419,,,0.0018,0.0001,0.0001,0.0005,0.0001,0.0087,,,
NB4,,NB4,429685,2320452,,6.09,,8.09,,,,,10.2,1,,,0.03973082901991596,,,0.0021,0.0001,0.0001,0.00015,0.0001,0.0123,,,
NB4,,NB4,429685,2320452,,6.02,,8.06,,,,,8.2,1,,,0.04632743675288599,,,0.0015,0.0001,0.0001,0.0018,0.0001,0.0186,,,
NB5,,NB5,429449,2319397,,6.22,,8.02,,,,,9.7,1.5,,,0.04847643155604651,,,0.0012,0.0001,0.00045,0.00045,0.00025,0.0112,,,
NB5,,NB5,429449,2319397,,6.38,,8.06,,,,,10.6,1.5,,,0.04994216979648564,,,0.0037,0.0001,0.00045,0.0014,0.00025,0.0068,,,
NB5,,NB5,429449,2319397,,5.98,,8.16,,,,,11.6,1.5,,,0.033002939759798955,,,0.002,0.0001,0.00045,0.00045,0.00025,0.0048,,,
NB5,,NB5,429449,2319397,,6.03,,8.1,,,,,7.6,1.5,,,0.0316703307204508,,,0.0027,0.0001,0.00045,0.00045,0.00025,0.0082,,,
NB5,,NB5,429449,2319397,,6,,8,,,,,8.2,1.5,,,0.051126797628293405,,,0.0016,0.0001,0.00045,0.00045,0.00025,0.0109,,,
NB5,,NB5,429449,2319397,,5.99,,8.02,,,,,11.5,1.5,,,0.03494231594374105,,,0.0029,0.0001,0.00045,0.00045,0.00025,0.0113,,,
NB5,,NB5,429449,2319397,,5.92,,8.09,,,,,13.2,1.5,,,0.023578982983414907,,,0.0025,0.0001,0.00045,0.00045,0.00025,0.0129,,,
